"ID" "name_C" "name_lib" "level_C" "order" "name_E" "level_E" "species" "field_type" "name_code" "name_baiaoyun" "class_standard" "level_code"
19 "落叶性" "LuoYeXing" "3-落" 18 NA "1-BuLuo_2-BanLuo_3-Luo_99-FenLi" "soybean" "C" "T018" "落叶性" 0 "T018-3-"
19 "落叶性" "LuoYeXing" "99-分离" 18 NA "1-BuLuo_2-BanLuo_3-Luo_99-FenLi" "soybean" "C" "T018" "落叶性" 0 "T018-99-"
20 "裂荚性" "LieJiaXing" "3-不裂" 19 NA "3-BuLie_5-QingLie0-9_7-Zhong9-25_9-YiLie>25_99-FenLi" "soybean" "C" "T019" "裂荚性" 0 "T019-3-"
20 "裂荚性" "LieJiaXing" "5-轻裂0-9" 19 NA "3-BuLie_5-QingLie0-9_7-Zhong9-25_9-YiLie>25_99-FenLi" "soybean" "C" "T019" "裂荚性" 0 "T019-5-0-9"
20 "裂荚性" "LieJiaXing" "7-中9-25" 19 NA "3-BuLie_5-QingLie0-9_7-Zhong9-25_9-YiLie>25_99-FenLi" "soybean" "C" "T019" "裂荚性" 0 "T019-7-9-25"
20 "裂荚性" "LieJiaXing" "9-易裂>25" 19 NA "3-BuLie_5-QingLie0-9_7-Zhong9-25_9-YiLie>25_99-FenLi" "soybean" "C" "T019" "裂荚性" 0 "T019-9-25"
20 "裂荚性" "LieJiaXing" "99-分离" 19 NA "3-BuLie_5-QingLie0-9_7-Zhong9-25_9-YiLie>25_99-FenLi" "soybean" "C" "T019" "裂荚性" 0 "T019-99-"
21 "成熟期" "ChengShuQi" NA 20 NA NA "soybean" "D" "T020" "成熟期" 0 "T020-NA"
22 "活秆成熟" "HuoGanChengShu" "0-否" 21 NA "0-Fou_1-Shi_99-FenLi" "soybean" "C" "T021" "活秆成熟" 0 "T021-0-"
22 "活秆成熟" "HuoGanChengShu" "1-是" 21 NA "0-Fou_1-Shi_99-FenLi" "soybean" "C" "T021" "活秆成熟" 0 "T021-1-"
22 "活秆成熟" "HuoGanChengShu" "99-分离" 21 NA "0-Fou_1-Shi_99-FenLi" "soybean" "C" "T021" "活秆成熟" 0 "T021-99-"
23 "成熟期田间评价" "ChengShuQiTianJianPingJia" "2-优" 22 NA "2-You_0-Zhong_-1-Cha" "soybean" "C" "T022" "成熟期田间评价" 0 "T022-2-"
23 "成熟期田间评价" "ChengShuQiTianJianPingJia" "0-中" 22 NA "2-You_0-Zhong_-1-Cha" "soybean" "C" "T022" "成熟期田间评价" 0 "T022-0-"
23 "成熟期田间评价" "ChengShuQiTianJianPingJia" "-1-差" 22 NA "2-You_0-Zhong_-1-Cha" "soybean" "C" "T022" "成熟期田间评价" 0 "T022--1-"
24 "收获期" "ShouHuoQi" NA 23 NA NA "soybean" "D" "T023" "收获期" 0 "T023-NA"
25 "小区收获株数" "XiaoQuShouHuoZhuShu" "0" 24 NA "0_1000" "soybean" "N" "T024" "小区收获株数" 0 "T024-0"
25 "小区收获株数" "XiaoQuShouHuoZhuShu" "1000" 24 NA "0_1000" "soybean" "N" "T024" "小区收获株数" 0 "T024-1000"
26 "生育期(天)" "ShengYuQi" "30" 25 NA "30_150" "soybean" "N" "T025" "生育期(天)" 0 "T025-30"
26 "生育期(天)" "ShengYuQi" "150" 25 NA "30_150" "soybean" "N" "T025" "生育期(天)" 0 "T025-150"
27 "田间备注" "TianJianBeiZhu" NA 26 NA NA "soybean" "any" "T026" "田间备注" 0 "T026-NA"
28 "花叶病毒病" "HuaYeBingDuBing" "0-免疫" 27 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T027" "花叶病毒病" 0 "T027-0-"
28 "花叶病毒病" "HuaYeBingDuBing" "1-高抗" 27 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T027" "花叶病毒病" 0 "T027-1-"
28 "花叶病毒病" "HuaYeBingDuBing" "3-抗" 27 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T027" "花叶病毒病" 0 "T027-3-"
28 "花叶病毒病" "HuaYeBingDuBing" "7-感" 27 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T027" "花叶病毒病" 0 "T027-7-"
28 "花叶病毒病" "HuaYeBingDuBing" "9-高感" 27 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T027" "花叶病毒病" 0 "T027-9-"
28 "花叶病毒病" "HuaYeBingDuBing" "99-分离" 27 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T027" "花叶病毒病" 0 "T027-99-"
